Test,TestId,Type,Item,Message,Data,Path
CADDONREQ,200,Info,,"Behavior pack manifest found.",,/behavior_packs/pha/manifest.json,
CADDONREQ,101,Error,,"Found a loose file in the item_catalog folder. Should only see files in the folder item_catalog\creatorshortname\gamename\","crafting_item_catalog.json",,
MINENGINEVER,605,Info,,"Behavior pack manifest min_engine_version",1,21,60,/behavior_packs/pha/manifest.json,
MINENGINEVER,614,Info,,"Resource pack manifest format_version",1,21,60,/resource_packs/pha/manifest.json,
PACKSIZE,1,Test success,,"Pack Size Information (PACKSIZE) completed successfully .",,,
CADDONREQ,0,Test fail,,"Found 1 errors for Cooperative Add-On Requirements (CADDONREQ).",,,
STRICT,1,Test success,,"Strict Platform Info Generator (STRICT) completed successfully .",,,
TEXTURE,1,Test success,,"Texture Validation (TEXTURE) completed successfully .",,,
MINENGINEVER,1,Test success,,"Min Engine Version (MINENGINEVER) completed successfully .",,,
WORLDDATA,2,Unknown,,"No applicable items found for test World Data Validation (WORLDDATA).",,,
CADDONIREQ,1,Test success,,"Cooperative Add-On Item Requirements Generator (CADDONIREQ) completed successfully .",,,
